list-none-none,1,10,1,30,161117,5370
list-none-none,1,100,1,300,180836,602
list-none-none,1,1000,1,3000,3483981,1161
list-none-none,1,10000,1,30000,642704421,21423
list-none-none,1,20000,1,60000,3430792422,57179
list-none-none,2,1,1,6,161797,26966
list-none-none,2,10,1,60,117437,1957
list-none-none,2,1000,1,6000,35206249,5867
list-none-none,4,1,1,12,145299,12108
list-none-none,4,1000,1,12000,59719729,4976
list-none-none,8,1,1,24,314496,13104
list-none-none,8,10,1,240,295622,1231
list-none-none,12,1,1,36,444628,12350
list-none-none,12,10,1,360,416730,1157
list-i-none,2,1,1,6,129190,21531
list-i-none,2,4,1,24,148181,6174
list-i-none,2,8,1,48,203999,4249
list-i-none,2,32,1,192,726420,3783
list-i-none,4,2,1,24,136951,5706
list-i-none,4,32,1,384,1338102,3484
list-i-none,8,2,1,48,258026,5375
list-i-none,12,2,1,72,366895,5095
list-i-m,2,1,1,6,146328,24388
list-i-m,2,2,1,12,162892,13574
list-i-m,2,4,1,24,166556,6939
list-i-m,2,8,1,48,220096,4585
list-i-m,2,16,1,96,366758,3820
list-i-m,2,32,1,192,982031,5114
list-i-m,4,1,1,12,145953,12162
list-i-m,4,2,1,24,194836,8118
list-i-m,4,4,1,48,267651,5576
list-i-m,4,8,1,96,371341,3868
list-i-m,4,16,1,192,1185477,6174
list-i-m,4,32,1,384,4014403,10454
list-i-m,8,1,1,24,291618,12150
list-i-m,8,2,1,48,266288,5547
list-i-m,8,4,1,96,245509,2557
list-i-m,8,8,1,192,1211915,6312
list-i-m,8,16,1,384,3504975,9127
list-i-m,8,32,1,768,11932221,15536
list-i-m,12,1,1,36,450341,12509
list-i-m,12,2,1,72,403406,5602
list-i-m,12,4,1,144,813304,5647
list-i-m,12,8,1,288,1764801,6127
list-i-m,12,16,1,576,4703394,8165
list-i-m,12,32,1,1152,23438209,20345
list-i-s,2,1,1,6,146250,24375
list-i-s,2,2,1,12,115968,9664
list-i-s,2,4,1,24,120539,5022
list-i-s,2,8,1,48,137081,2855
list-i-s,2,16,1,96,300149,3126
list-i-s,2,32,1,192,821073,4276
list-i-s,4,1,1,12,138088,11507
list-i-s,4,2,1,24,202169,8423
list-i-s,4,4,1,48,196701,4097
list-i-s,4,8,1,96,416266,4336
list-i-s,4,16,1,192,832642,4336
list-i-s,4,32,1,384,2959391,7706
list-i-s,8,1,1,24,319734,13322
list-i-s,8,2,1,48,309768,6453
list-i-s,8,4,1,96,351843,3665
list-i-s,8,8,1,192,608525,3169
list-i-s,8,16,1,384,3451784,8989
list-i-s,8,32,1,768,10004071,13026
list-i-s,12,1,1,36,374866,10412
list-i-s,12,2,1,72,352937,4901
list-i-s,12,4,1,144,395509,2746
list-i-s,12,8,1,288,1440415,5001
list-i-s,12,16,1,576,5228925,9077
list-i-s,12,32,1,1152,30942487,26859
list-d-none,2,1,1,6,144827,24137
list-d-none,2,2,1,12,168471,14039
list-d-none,2,4,1,24,180570,7523
list-d-none,2,32,1,192,666009,3468
list-d-none,4,2,1,24,145488,6062
list-d-none,4,8,1,96,266477,2775
list-d-none,4,16,1,192,504574,2627
list-d-none,8,1,1,24,287963,11998
list-d-none,8,2,1,48,246777,5141
list-d-none,12,1,1,36,434205,12061
list-d-none,12,16,1,576,1174200,2038
list-d-m,2,1,1,6,134815,22469
list-d-m,2,2,1,12,161166,13430
list-d-m,2,4,1,24,146220,6092
list-d-m,2,8,1,48,218994,4562
list-d-m,2,16,1,96,452512,4713
list-d-m,2,32,1,192,1075356,5600
list-d-m,4,1,1,12,181027,15085
list-d-m,4,2,1,24,119931,4997
list-d-m,4,4,1,48,236167,4920
list-d-m,4,8,1,96,260872,2717
list-d-m,4,16,1,192,1060868,5525
list-d-m,4,32,1,384,3869580,10077
list-d-m,8,1,1,24,241586,10066
list-d-m,8,2,1,48,304256,6338
list-d-m,8,4,1,96,461545,4807
list-d-m,8,8,1,192,1017000,5296
list-d-m,8,16,1,384,3512585,9147
list-d-m,8,32,1,768,12114764,15774
list-d-m,12,1,1,36,425351,11815
list-d-m,12,2,1,72,421266,5850
list-d-m,12,4,1,144,640049,4444
list-d-m,12,8,1,288,2308585,8015
list-d-m,12,16,1,576,5929292,10293
list-d-m,12,32,1,1152,23760662,20625
list-d-s,2,1,1,6,145230,24205
list-d-s,2,2,1,12,150324,12527
list-d-s,2,4,1,24,148735,6197
list-d-s,2,8,1,48,201125,4190
list-d-s,2,16,1,96,259186,2699
list-d-s,2,32,1,192,782602,4076
list-d-s,4,1,1,12,177456,14788
list-d-s,4,2,1,24,179279,7469
list-d-s,4,4,1,48,212763,4432
list-d-s,4,8,1,96,374984,3906
list-d-s,4,16,1,192,904598,4711
list-d-s,4,32,1,384,3040225,7917
list-d-s,8,1,1,24,317280,13220
list-d-s,8,2,1,48,275482,5739
list-d-s,8,4,1,96,341669,3559
list-d-s,8,8,1,192,811808,4228
list-d-s,8,16,1,384,3317160,8638
list-d-s,8,32,1,768,8186348,10659
list-d-s,12,1,1,36,405501,11263
list-d-s,12,2,1,72,443461,6159
list-d-s,12,4,1,144,534582,3712
list-d-s,12,8,1,288,1004862,3489
list-d-s,12,16,1,576,7247657,12582
list-d-s,12,32,1,1152,19558542,16977
list-l-none,2,2,1,12,152807,12733
list-l-none,2,4,1,24,160478,6686
list-l-none,2,8,1,48,202117,4210
list-l-none,2,16,1,96,326167,3397
list-l-none,2,32,1,192,711655,3706
list-l-none,4,2,1,24,147523,6146
list-l-none,4,4,1,48,198376,4132
list-l-none,4,8,1,96,182866,1904
